old_cityID,X,Y,country,state,city
3691,-100.8043729,36.39043476,United States,Texas,Perryton
3725,-81.30360428,33.00515028,United States,South Carolina,Allendale
3744,-95.86327904,46.81210523,United States,Minnesota,Detroit Lakes
3768,-3.015637094,39.16167698,Spain,Castile-La Mancha,Tomelloso
3769,-75.30322756,4.909633406,Colombia,Tolima,
3827,-81.92384999,31.93876138,United States,Georgia,Glennville
3893,129.392702,46.1718634,China,Heilongjiang,Harbin
3939,109.3549452,40.57695701,China,Inner Mongolia,Bayannur
3997,-97.4271351,38.14030799,United States,Kansas,Hesston
4084,15.90912265,38.4523442,Italy,Calabria,Container Terminal
4094,-2.28932929,37.34817044,Spain,Andalusia,Olula del R¨ªo
4152,-80.9842001,46.64684572,Canada,Ontario,Greater Sudbury
4172,-96.61185404,47.77376319,United States,Minnesota,Crookston
4183,16.29797707,41.23135809,Italy,Apulia,Andria
4223,22.6075825,51.45645461,Poland,Lublin Voivodeship,Lubart¨®w
4229,-95.13274889,43.3855737,United States,Iowa,Okoboji
4272,14.9111542,50.91253644,Poland,Lower Silesian Voivodeship,Bogatynia
4297,-81.62163633,42.96271308,Canada,Ontario,Strathroy
4326,-92.72444805,41.73456615,United States,Iowa,Oakland Acres
4328,-88.15793936,40.30583502,United States,Illinois,Rantoul
4343,-99.73952975,40.7685312,United States,Nebraska,Lexington
4359,-94.36517344,41.05864728,United States,Iowa,Creston
4364,131.8644069,47.29182201,China,Heilongjiang,Hegang
4448,-78.41050072,35.44569906,United States,North Carolina,Four Oaks
4455,12.09532113,42.42956058,Italy,Lazio,Viterbo
4511,-122.7493292,45.91318492,United States,Washington,Woodland
4520,12.67172288,38.07623238,Italy,Sicily,Custonaci
4542,-94.87637236,38.56238014,United States,Kansas,Paola
4575,-80.49894018,42.85215686,Canada,Ontario,Delhi
4582,-81.0916215,34.36890799,United States,South Carolina,Winnsboro
4663,150.3077077,-28.53646188,Australia,Queensland,Wyaga
4666,13.2580939,43.53605182,Italy,Marche,Iesi
4680,111.3895339,40.70471347,China,Inner Mongolia,Hohhot
4691,13.84211651,37.36066953,Italy,Sicily,Canicatt¨¬
4692,-77.58800268,35.6003122,United States,North Carolina,Farmville
4705,-91.17306163,38.20835449,United States,Missouri,Sullivan
4724,14.97455378,41.99224687,Italy,Molise,Termoli
4757,-8.967888879,38.69831016,Portugal,Setubal,Montijo
4770,-112.8280061,53.01367276,Canada,Alberta,Camrose
4783,-96.6329081,39.84158896,United States,Kansas,Marysville
4787,123.4732799,41.13088803,China,Liaoning,Liaoyang
4831,117.6141001,44.58120003,China,Inner Mongolia,Xilingol League
4866,13.71733327,37.39692916,Italy,Sicily,
4898,-94.86873196,42.07119303,United States,Iowa,Carroll
4916,-94.23289267,39.7453348,United States,Missouri,Cameron
4940,-92.46774345,39.74297699,United States,Missouri,Macon
4977,-95.81997053,37.53011563,United States,Kansas,Fredonia
4990,-88.26954087,42.67466856,United States,Wisconsin,Burlington
5000,-100.6273096,40.20558441,United States,Nebraska,McCook
5003,-74.8214256,38.98769507,United States,New Jersey,Wildwood
5076,-121.9905796,47.85869439,United States,Washington,Monroe
5147,13.93966784,37.26060756,Italy,Sicily,
5148,14.86163848,37.65356646,Italy,Sicily,Biancavilla
5190,-76.93781383,36.67189627,United States,Virginia,Franklin
5198,-6.410068393,38.68591793,Spain,Extremadura,Almendralejo
5216,16.27773636,41.3139715,Italy,Apulia,Barletta
5220,-96.75155858,35.96737708,United States,Oklahoma,Cushing
5232,-97.23002861,27.60542898,United States,Texas,Corpus Christi
5235,-84.35838107,46.48029549,United States,Michigan,SAULT S MARIE
5239,118.6183407,32.39685179,China,Anhui,Chuzhou
5256,118.1598498,37.79915155,China,Shandong,Binzhou
5265,12.51649087,41.66953795,Italy,Lazio,Area Produttiva
5313,-91.35437795,40.62812925,United States,Iowa,Fort Madison
5315,-94.37729197,44.8860843,United States,Minnesota,Hutchinson
5348,-93.20089613,39.11373717,United States,Missouri,Napton
5404,-78.17933202,43.0022302,United States,New York,Batavia
5405,-36.58922927,-7.066036085,Brazil,State of Para¨ªba,
5409,13.65833057,37.31554709,Italy,Sicily,Favara
5413,-92.6358199,38.15006264,United States,Missouri,Osage Beach
5428,112.5947625,35.46836564,China,Shanxi,Jincheng
5492,78.21383833,12.52999066,India,Tamil Nadu,Krishnagiri
5495,-80.90185037,36.67595721,United States,Virginia,Galax
5510,8.381430228,40.82993373,Italy,Sardinia,Porto Torres
5511,130.8196955,47.57689729,China,Heilongjiang,Hegang
5540,-1.122036157,38.18202241,Spain,Region of Murcia,Fortuna
5541,-78.17332206,35.57129822,United States,North Carolina,Selma
5598,-94.87224348,40.34691404,United States,Missouri,Maryville
5617,5.988176256,33.52841444,Algeria,El Oued Province,Djamaa
5644,-85.08296952,41.3604668,United States,Indiana,Auburn
5649,5.06439465,34.4308848,Algeria,Biskra Province,Ouled Djellal
5673,-93.87866475,42.05716403,United States,Iowa,Boone
5676,14.66114909,41.5676089,Italy,Molise,Campobasso
5706,-80.22096701,33.69354836,United States,South Carolina,Manning
5726,125.1910707,45.58452989,China,Heilongjiang,Daqing
5754,74.53205963,63.79047059,Russia,Yamalo-Nenets Autonomous Okrug,Muravlenko
5799,-123.1094,47.22749717,United States,Washington,SKOK
5835,-115.7588827,49.51262726,Canada,British Columbia,Cranbrook
5886,-120.837892,37.7658946,United States,California,Valley Home
5890,-90.67012928,40.45975875,United States,Illinois,Macomb
5897,132.9175346,48.77998548,Russia,Jewish Autonomous Oblast,Birobidzhan
5899,-81.52613828,33.91072326,United States,South Carolina,Batesburg-Leesville
5921,-94.89223538,47.482277,United States,Minnesota,Wilton
5926,152.0271063,-28.21913029,Australia,Queensland,Allan
6063,-80.24857316,34.20534465,United States,South Carolina,Wisacky
6092,118.8494374,37.92668437,China,Shandong,Dongying
6122,-122.9099613,44.53177013,United States,Oregon,Lebanon
6124,109.9733319,41.78047271,China,Inner Mongolia,Baotou
6126,124.8522483,48.47547624,China,Heilongjiang,Qiqihar
6169,-79.76146603,33.86621236,United States,South Carolina,Lake City
6174,106.6479529,39.15676968,China,Ningxia,Shizuishan
6187,-83.77024202,31.96486177,United States,Georgia,Cordele
6218,76.32286889,29.31554935,India,Haryana,Julani
6261,14.80047214,41.11566272,Italy,Campania,Benevento
6277,-82.01469334,33.09237141,United States,Georgia,Waynesboro
6308,44.64330244,43.74976373,Russia,North Ossetia¨CAlania Republic,Mozdok
6342,-113.147897,53.75502248,Canada,Alberta,Fort Saskatchewan
6353,-85.88388824,38.95417325,United States,Indiana,Seymour
6361,-91.54451136,40.96656643,United States,Iowa,Mount Pleasant
6377,-95.38975352,37.92495835,United States,Kansas,Iola
6383,-85.40552636,44.25347561,United States,Michigan,Cadillac
6396,1.270923959,41.29403224,Spain,Catalonia,Valls
6407,-80.48170174,33.47523671,United States,South Carolina,Santee
6421,-95.7154596,37.22339753,United States,Kansas,Independence
6431,-78.70762881,34.31917872,United States,North Carolina,Whiteville
6432,-100.9256908,37.04317638,United States,Kansas,Liberal
6507,123.4147902,46.39110311,China,Heilongjiang,Qiqihar
6536,14.43793973,36.89878388,Italy,Sicily,Scoglitti
6565,-71.59643586,-16.50506838,Peru,Arequipa,Jacobo Hunter
6575,39.919231,48.0432955,Russia,Rostov Oblast,Gukovo
6581,16.29417442,38.27230112,Italy,Calabria,Siderno
6639,-81.99799405,34.51247941,United States,South Carolina,Laurens
6670,12.9402476,38.00334113,Italy,Sicily,
